nombre,categoria,unidades,total_vendido
V JOHNNY WALKER BLACK,WHISKYS,22.0,1100.0
C BACARDI SOLERA ,RON,2.0,780.0
C FERNET BRANCA 750ML,FERNET,2.0,760.0
C JAGER 700ML REDBULLX4,LICOR,1.0,580.0
V FERNET BRANCA,FERNET,13.0,455.0
C HAVANA CLUB 7A 700ML,RON,1.0,450.0
C DON LUCHO SILVER 750ML,SINGANI,1.0,420.0
C JAGERMEISTER 700ML,LICOR,1.0,420.0
C VIUDA DESCALZA,SINGANI,1.0,390.0
V GEORG FOSTER,GINVIP,7.0,385.0
HUARI 330ML,CERVEZAS,11.0,385.0
C CASA REAL NEGRA 750ML,SINGANI,1.0,320.0
ALTOSAMA DEMI SEC 750ML,VINOS,2.0,300.0
RED BULL,TONICA ENERG,6.0,240.0
BALDE CORONA,CERVEZAS,1.0,210.0
V HAVANA CLUB 7A,RON,5.0,200.0
BALDE HUARI,CERVEZAS,1.0,190.0
CHOPP HUARI 1LT,CERVEZAS,3.0,180.0
AGUAS SIN GAS 600ML,AGUAS Y JUGOS,8.0,160.0
CHOPP HUARI 500ML,CERVEZAS,4.0,160.0
