,id_operacion,nombre_producto,id_producto,cantidad_consumida_base,wac_operativa,costo_consumo
0,1130,DON LUCHO ORO 700ML,21,"4,0000","Bs 330,00","Bs 1.320,00"
1,1130,DON LUCHO ORO 700ML,21,"4,0000","Bs 330,00","Bs 1.320,00"
2,1130,DON LUCHO ORO 700ML,21,"4,0000","Bs 330,00","Bs 1.320,00"
3,1130,DON LUCHO ORO 700ML,21,"4,0000","Bs 250,00","Bs 1.000,00"
4,1130,DON LUCHO SILVER 750ML,405,"4,3600","Bs 205,00","Bs 893,80"
5,1130,DON LUCHO SILVER 750ML,405,"4,3600","Bs 165,00","Bs 719,40"
6,1130,CASA REAL ET. NEGRA 750ML,19,"6,0000","Bs 90,00","Bs 540,00"
7,1130,CASA REAL ET. NEGRA 750ML,19,"6,0000","Bs 85,00","Bs 510,00"
8,1130,DON LUCHO SILVER 750ML,405,"4,3600","Bs 115,00","Bs 501,40"
9,1130,CORONA 330ML,40,"30,0000","Bs 15,41","Bs 462,30"
10,1130,CORONA 330ML,40,"30,0000","Bs 14,38","Bs 431,40"
11,1130,JACK DANIELS 1LT,8,"1,0000","Bs 380,00","Bs 380,00"
12,1130,BRANCA 750ML,16,"4,0000","Bs 95,00","Bs 380,00"
13,1130,JW BLACK 1LT,3,"1,0000","Bs 350,00","Bs 350,00"
14,1130,GINGER ALE 2LT,60,"18,1970","Bs 14,66","Bs 266,77"
15,1130,AMSTEL LATA 473ML,492,"34,0000","Bs 7,00","Bs 238,00"
16,1130,HAVANA CLUB 7A 700ML,12,"1,3750","Bs 165,00","Bs 226,88"
17,1130,GINGER ALE 2LT,60,"18,1970","Bs 11,67","Bs 212,36"
18,1130,BRANCA MENTA 750ML,17,"2,0000","Bs 95,00","Bs 190,00"
19,1130,GEORGE FORSTER AZUL 750ML,491,"1,0000","Bs 175,00","Bs 175,00"
20,1130,GINGER ALE 2LT,60,"18,1970","Bs 9,20","Bs 167,41"
21,1130,HUARI 620ML,138,"9,5238","Bs 17,50","Bs 166,67"
22,1130,LA VIUDA DESCALZA 700ML,250,"1,0000","Bs 150,00","Bs 150,00"
23,1130,BACARDI SOLERA 750ML,15,"1,0000","Bs 140,00","Bs 140,00"
24,1130,RECONQUISTA 750ML,489,"2,0000","Bs 65,00","Bs 130,00"
25,1130,JAGERMEISTER 1LT,37,"0,6818","Bs 190,00","Bs 129,55"
26,1130,COCA COLA 3LT,62,"7,7500","Bs 15,80","Bs 122,45"
27,1130,LA VIUDA DESCALZA 700ML,250,"1,0000","Bs 110,00","Bs 110,00"
28,1130,RON BLANCO 1LT,13,"0,7424","Bs 125,00","Bs 92,80"
29,1130,37 LENGUAS 1LT,480,"1,0000","Bs 85,00","Bs 85,00"
30,1130,MOM ROYAL SMOOTHNESS 700ML,374,"0,6250","Bs 133,33","Bs 83,33"
31,1130,HUARI 330ML,41,"6,0000","Bs 13,54","Bs 81,24"
32,1130,TEQUILA JARANA SILVER 750ML,483,"0,4800","Bs 120,00","Bs 57,60"
33,1130,CASA REAL ET. NEGRA 1LT,140,"0,4545","Bs 95,00","Bs 43,18"
34,1130,AGUA TONICA 990ML,61,"4,8182","Bs 8,00","Bs 38,55"
35,1130,CAMPARI 750ML,157,"0,2400","Bs 160,00","Bs 38,40"
36,1130,STOLICHNAYA 1LT,24,"0,1970","Bs 150,00","Bs 29,55"
37,1130,MARTINI VERMUT ROSSO 750ML,306,"0,2400","Bs 120,00","Bs 28,80"
38,1130,ROCKS LIMON 1LT,474,"0,2424","Bs 118,00","Bs 28,61"
39,1130,BRANCA 1LT,18,"0,1818","Bs 115,00","Bs 20,91"
40,1130,GEORGE FORSTER 500ML,482,"0,1765","Bs 96,88","Bs 17,10"
41,1130,MALIBU 1LT,203,"0,0606","Bs 180,00","Bs 10,91"
42,1130,TRIPLE SEC 700ML,152,"0,1667","Bs 65,00","Bs 10,83"
43,1130,SPRITE 3LT,63,"0,4800","Bs 19,00","Bs 9,12"
44,1130,JOSE CUERVO REPOSADO 750ML,29,"0,0600","Bs 150,00","Bs 9,00"
45,1130,SPRITE 3LT,63,"0,4800","Bs 12,10","Bs 5,81"
46,1130,LICOR DE CAFE TRES PLUMAS 700ML,357,"0,0833","Bs 65,00","Bs 5,42"
47,1130,AGUA SIN GAS 2LT,64,"0,6818","Bs 6,66","Bs 4,54"
48,1130,-,45,"32,0030","Bs 0,00","Bs 0,00"
