,id_operacion,id_comanda,id_mesa,usuario_reg,fecha_emision,estado_comanda,id_barra,total_venta,cogs_comanda,margen_comanda
69,1130,65236,1,ARNOLD,26-02-13 00:37,26,1,"Bs 460,00","Bs 513,87","-Bs 53,87"
106,1130,65199,1,ANGELA,26-02-12 23:03,26,1,"Bs 650,00","Bs 1.257,77","-Bs 607,76"
124,1130,65180,1,ANGELA,26-02-12 22:05,26,1,"Bs 650,00","Bs 1.257,77","-Bs 607,76"
140,1130,65163,1,ANGELA,26-02-12 20:15,26,1,"Bs 650,00","Bs 1.257,77","-Bs 607,76"
144,1130,65159,1,ANGELA,26-02-12 19:09,26,1,"Bs 650,00","Bs 1.257,77","-Bs 607,76"
36,1130,65269,1,ARNOLD,26-02-13 01:55,26,1,"Bs 420,00","Bs 502,76","-Bs 82,77"
101,1130,65204,1,ARNOLD,26-02-12 23:16,26,1,"Bs 420,00","Bs 502,76","-Bs 82,77"
104,1130,65201,1,ANGELA,26-02-12 23:08,26,1,"Bs 420,00","Bs 502,76","-Bs 82,77"
96,1130,65209,1,ANGELA,26-02-12 23:31,26,1,"Bs 135,00","Bs 31,52","Bs 103,48"
79,1130,65226,1,ARNOLD,26-02-13 00:03,26,1,"Bs 150,00","Bs 42,38","Bs 107,62"
138,1130,65165,1,ANGELA,26-02-12 20:48,26,1,"Bs 190,00","Bs 81,24","Bs 108,76"
32,1130,65273,1,ANGELA,26-02-13 02:02,26,1,"Bs 20,00","Bs 8,75","Bs 11,25"
88,1130,65217,1,ARNOLD,26-02-12 23:47,26,1,"Bs 20,00","Bs 8,75","Bs 11,25"
116,1130,65189,1,ARNOLD,26-02-12 22:41,26,1,"Bs 390,00","Bs 277,76","Bs 112,23"
134,1130,65170,1,ARNOLD,26-02-12 21:28,26,1,"Bs 160,00","Bs 46,50","Bs 113,50"
42,1130,65263,1,ANGELA,26-02-13 01:44,26,1,"Bs 320,00","Bs 192,76","Bs 127,23"
54,1130,65251,1,ARNOLD,26-02-13 01:17,26,1,"Bs 320,00","Bs 192,76","Bs 127,23"
61,1130,65244,1,ARNOLD,26-02-13 01:05,26,1,"Bs 320,00","Bs 192,76","Bs 127,23"
125,1130,65179,1,ARNOLD,26-02-12 22:03,26,1,"Bs 320,00","Bs 192,76","Bs 127,23"
136,1130,65168,1,ARNOLD,26-02-12 21:12,26,1,"Bs 320,00","Bs 192,76","Bs 127,23"
99,1130,65206,1,ARNOLD,26-02-12 23:23,26,1,"Bs 170,00","Bs 35,91","Bs 134,09"
57,1130,65248,1,ARNOLD,26-02-13 01:12,26,1,"Bs 25,00","Bs 10,90","Bs 14,10"
85,1130,65220,1,ANGELA,26-02-12 23:52,26,1,"Bs 25,00","Bs 10,90","Bs 14,10"
114,1130,65191,1,ANGELA,26-02-12 22:50,26,1,"Bs 25,00","Bs 10,90","Bs 14,10"
115,1130,65190,1,ANGELA,26-02-12 22:44,26,1,"Bs 25,00","Bs 10,90","Bs 14,10"
67,1130,65238,1,ARNOLD,26-02-13 00:43,26,1,"Bs 190,00","Bs 45,16","Bs 144,84"
92,1130,65213,1,ANGELA,26-02-12 23:35,26,1,"Bs 180,00","Bs 28,64","Bs 151,36"
62,1130,65243,1,ARNOLD,26-02-13 00:53,26,1,"Bs 225,00","Bs 67,06","Bs 157,94"
87,1130,65218,1,ANGELA,26-02-12 23:51,26,1,"Bs 45,00","Bs 28,07","Bs 16,93"
95,1130,65210,1,ARNOLD,26-02-12 23:34,26,1,"Bs 200,00","Bs 39,91","Bs 160,09"
118,1130,65187,1,ANGELA,26-02-12 22:37,26,1,"Bs 250,00","Bs 87,71","Bs 162,29"
35,1130,65270,1,ANGELA,26-02-13 01:55,26,1,"Bs 25,00","Bs 8,00","Bs 17,00"
53,1130,65252,1,ANGELA,26-02-13 01:17,26,1,"Bs 25,00","Bs 8,00","Bs 17,00"
49,1130,65256,1,ANGELA,26-02-13 01:30,26,1,"Bs 385,00","Bs 211,44","Bs 173,56"
63,1130,65242,1,ANGELA,26-02-13 00:59,26,1,"Bs 315,00","Bs 132,37","Bs 182,63"
51,1130,65254,1,ARNOLD,26-02-13 01:24,26,1,"Bs 40,00","Bs 20,60","Bs 19,40"
41,1130,65264,1,ANGELA,26-02-13 01:47,26,1,"Bs 25,00","Bs 5,21","Bs 19,79"
60,1130,65245,1,ANGELA,26-02-13 01:03,26,1,"Bs 25,00","Bs 5,21","Bs 19,79"
75,1130,65230,1,ANGELA,26-02-13 00:21,26,1,"Bs 25,00","Bs 5,21","Bs 19,79"
44,1130,65261,1,ANGELA,26-02-13 01:38,26,1,"Bs 290,00","Bs 96,09","Bs 193,91"
70,1130,65235,1,ANGELA,26-02-13 00:36,26,1,"Bs 20,00","Bs 0,00","Bs 20,00"
141,1130,65162,1,ANGELA,26-02-12 20:14,26,1,"Bs 20,00","Bs 0,00","Bs 20,00"
28,1130,65277,1,ANGELA,26-02-13 02:11,26,1,"Bs 80,00","Bs 59,58","Bs 20,42"
43,1130,65262,1,ANGELA,26-02-13 01:43,26,1,"Bs 80,00","Bs 59,58","Bs 20,42"
90,1130,65215,1,ANGELA,26-02-12 23:45,26,1,"Bs 80,00","Bs 59,58","Bs 20,42"
100,1130,65205,1,ANGELA,26-02-12 23:18,26,1,"Bs 80,00","Bs 59,58","Bs 20,42"
111,1130,65194,1,ANGELA,26-02-12 22:54,26,1,"Bs 80,00","Bs 59,58","Bs 20,42"
120,1130,65184,1,ANGELA,26-02-12 22:29,26,1,"Bs 80,00","Bs 59,58","Bs 20,42"
10,1130,65295,1,ANGELA,26-02-13 03:09,26,1,"Bs 240,00","Bs 38,18","Bs 201,82"
38,1130,65267,1,ANGELA,26-02-13 01:52,26,1,"Bs 295,00","Bs 88,70","Bs 206,30"
142,1130,65161,1,ANGELA,26-02-12 19:38,26,1,"Bs 50,00","Bs 28,66","Bs 21,34"
65,1130,65240,1,ANGELA,26-02-13 00:51,26,1,"Bs 295,00","Bs 59,52","Bs 235,48"
8,1130,65297,1,ANGELA,26-02-13 03:10,26,1,"Bs 40,00","Bs 14,17","Bs 25,83"
